1	0.952	0.684
2	0.664	0.608
3	0.589	0.586
4	0.545	0.521
5	0.506	0.499
6	0.48	0.483
7	0.456	0.459
8	0.433	0.453
9	0.413	0.457
10	0.397	0.416
11	0.388	0.439
12	0.372	0.427
13	0.355	0.415
14	0.353	0.408
15	0.335	0.386
16	0.326	0.391
17	0.321	0.376
18	0.309	0.379
19	0.303	0.373
20	0.298	0.368
21	0.252	0.335
22	0.228	0.327
23	0.217	0.323
24	0.207	0.321
25	0.2	0.321
26	0.193	0.319
27	0.188	0.318
28	0.182	0.316
29	0.176	0.315
30	0.172	0.315
31	0.168	0.314
32	0.164	0.314
33	0.159	0.315
34	0.155	0.314
35	0.152	0.314
36	0.147	0.315
37	0.145	0.314
38	0.14	0.313
39	0.137	0.315
40	0.134	0.315
41	0.126	0.311
42	0.122	0.311
43	0.12	0.311
44	0.119	0.311
45	0.118	0.311
46	0.117	0.311
47	0.116	0.311
48	0.115	0.311
49	0.114	0.312
50	0.114	0.312
51	0.113	0.312
52	0.112	0.312
53	0.111	0.312
54	0.111	0.312
55	0.11	0.312
56	0.11	0.312
57	0.109	0.313
58	0.108	0.313
59	0.108	0.313
60	0.107	0.313
61	0.106	0.313
62	0.106	0.313
63	0.106	0.313
64	0.105	0.313
65	0.105	0.313
66	0.105	0.313
67	0.105	0.313
68	0.105	0.313
69	0.105	0.313
70	0.105	0.313
71	0.105	0.313
72	0.105	0.313
73	0.105	0.313
74	0.105	0.313
75	0.105	0.313
76	0.105	0.313
77	0.104	0.313
78	0.104	0.313
79	0.104	0.313
80	0.104	0.313
